"","X","curr_SRX","sex","simplified_tissue","broad_tissue","simpled_dev","broad_stage","study","cell_line"
"DRX017268","DRX017268","DRX017268","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017269","DRX017269","DRX017269","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017270","DRX017270","DRX017270","female","head","head","a","adult","DRP003695",NA
"DRX017271","DRX017271","DRX017271","female","head","head","a","adult","DRP003695",NA
"DRX017272","DRX017272","DRX017272","male","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017273","DRX017273","DRX017273","male","head","head","a","adult","DRP003695",NA
"DRX017274","DRX017274","DRX017274","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017275","DRX017275","DRX017275","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017276","DRX017276","DRX017276","female","head","head","a","adult","DRP003695",NA
"DRX017277","DRX017277","DRX017277","female","head","head","a","adult","DRP003695",NA
"DRX017278","DRX017278","DRX017278","male","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017279","DRX017279","DRX017279","male","head","head","a","adult","DRP003695",NA
"DRX017280","DRX017280","DRX017280","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017281","DRX017281","DRX017281","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017282","DRX017282","DRX017282","female","head","head","a","adult","DRP003695",NA
"DRX017283","DRX017283","DRX017283","female","head","head","a","adult","DRP003695",NA
"DRX017286","DRX017286","DRX017286","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017287","DRX017287","DRX017287","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017288","DRX017288","DRX017288","female","head","head","a","adult","DRP003695",NA
"DRX017289","DRX017289","DRX017289","female","head","head","a","adult","DRP003695",NA
"DRX017290","DRX017290","DRX017290","male","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017291","DRX017291","DRX017291","male","head","head","a","adult","DRP003695",NA
"DRX017292","DRX017292","DRX017292","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017293","DRX017293","DRX017293","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017294","DRX017294","DRX017294","female","head","head","a","adult","DRP003695",NA
"DRX017295","DRX017295","DRX017295","female","head","head","a","adult","DRP003695",NA
"DRX017296","DRX017296","DRX017296","male","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017297","DRX017297","DRX017297","male","head","head","a","adult","DRP003695",NA
"DRX017298","DRX017298","DRX017298","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017299","DRX017299","DRX017299","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017300","DRX017300","DRX017300","female","head","head","a","adult","DRP003695",NA
"DRX017301","DRX017301","DRX017301","female","head","head","a","adult","DRP003695",NA
"DRX017302","DRX017302","DRX017302","male","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017303","DRX017303","DRX017303","male","head","head","a","adult","DRP003695",NA
"DRX017304","DRX017304","DRX017304","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017305","DRX017305","DRX017305","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017306","DRX017306","DRX017306","female","head","head","a","adult","DRP003695",NA
"DRX017307","DRX017307","DRX017307","female","head","head","a","adult","DRP003695",NA
"DRX017309","DRX017309","DRX017309","male","head","head","a","adult","DRP003695",NA
"DRX017310","DRX017310","DRX017310","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017311","DRX017311","DRX017311","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017312","DRX017312","DRX017312","female","head","head","a","adult","DRP003695",NA
"DRX017313","DRX017313","DRX017313","female","head","head","a","adult","DRP003695",NA
"DRX017314","DRX017314","DRX017314","male","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017315","DRX017315","DRX017315","male","head","head","a","adult","DRP003695",NA
"DRX017317","DRX017317","DRX017317","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017319","DRX017319","DRX017319","female","head","head","a","adult","DRP003695",NA
"DRX017320","DRX017320","DRX017320","male","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017321","DRX017321","DRX017321","male","head","head","a","adult","DRP003695",NA
"DRX017322","DRX017322","DRX017322","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017323","DRX017323","DRX017323","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017324","DRX017324","DRX017324","female","head","head","a","adult","DRP003695",NA
"DRX017325","DRX017325","DRX017325","female","head","head","a","adult","DRP003695",NA
"DRX017328","DRX017328","DRX017328","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
