"","X","curr_SRX","sex","simplified_tissue","broad_tissue","simpled_dev","broad_stage","study","cell_line"
"SRX1329217","SRX1329217","SRX1329217","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329219","SRX1329219","SRX1329219","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329220","SRX1329220","SRX1329220","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329222","SRX1329222","SRX1329222","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329223","SRX1329223","SRX1329223","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329224","SRX1329224","SRX1329224","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329225","SRX1329225","SRX1329225","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329227","SRX1329227","SRX1329227","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329228","SRX1329228","SRX1329228","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329229","SRX1329229","SRX1329229","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329230","SRX1329230","SRX1329230","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329231","SRX1329231","SRX1329231","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329232","SRX1329232","SRX1329232","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329238","SRX1329238","SRX1329238","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329239","SRX1329239","SRX1329239","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329242","SRX1329242","SRX1329242","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329245","SRX1329245","SRX1329245","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329246","SRX1329246","SRX1329246","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329247","SRX1329247","SRX1329247","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329250","SRX1329250","SRX1329250","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329251","SRX1329251","SRX1329251","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329255","SRX1329255","SRX1329255","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329257","SRX1329257","SRX1329257","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329258","SRX1329258","SRX1329258","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329259","SRX1329259","SRX1329259","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329260","SRX1329260","SRX1329260","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329261","SRX1329261","SRX1329261","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329264","SRX1329264","SRX1329264","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329265","SRX1329265","SRX1329265","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329267","SRX1329267","SRX1329267","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329270","SRX1329270","SRX1329270","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329271","SRX1329271","SRX1329271","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329272","SRX1329272","SRX1329272","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329274","SRX1329274","SRX1329274","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329275","SRX1329275","SRX1329275","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329276","SRX1329276","SRX1329276","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329277","SRX1329277","SRX1329277","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329279","SRX1329279","SRX1329279","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329280","SRX1329280","SRX1329280","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329281","SRX1329281","SRX1329281","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329282","SRX1329282","SRX1329282","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329283","SRX1329283","SRX1329283","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329284","SRX1329284","SRX1329284","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329285","SRX1329285","SRX1329285","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329286","SRX1329286","SRX1329286","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329287","SRX1329287","SRX1329287","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329288","SRX1329288","SRX1329288","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329289","SRX1329289","SRX1329289","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329290","SRX1329290","SRX1329290","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329291","SRX1329291","SRX1329291","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329292","SRX1329292","SRX1329292","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329293","SRX1329293","SRX1329293","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329294","SRX1329294","SRX1329294","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329301","SRX1329301","SRX1329301","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329307","SRX1329307","SRX1329307","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329308","SRX1329308","SRX1329308","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329318","SRX1329318","SRX1329318","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329319","SRX1329319","SRX1329319","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329321","SRX1329321","SRX1329321","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329327","SRX1329327","SRX1329327","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329329","SRX1329329","SRX1329329","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329330","SRX1329330","SRX1329330","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329331","SRX1329331","SRX1329331","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329332","SRX1329332","SRX1329332","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329333","SRX1329333","SRX1329333","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329342","SRX1329342","SRX1329342","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329343","SRX1329343","SRX1329343","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329354","SRX1329354","SRX1329354","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329355","SRX1329355","SRX1329355","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329356","SRX1329356","SRX1329356","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329366","SRX1329366","SRX1329366","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329367","SRX1329367","SRX1329367","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329368","SRX1329368","SRX1329368","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329379","SRX1329379","SRX1329379","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329382","SRX1329382","SRX1329382","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329383","SRX1329383","SRX1329383","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329384","SRX1329384","SRX1329384","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329387","SRX1329387","SRX1329387","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329388","SRX1329388","SRX1329388","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329390","SRX1329390","SRX1329390","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329392","SRX1329392","SRX1329392","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329394","SRX1329394","SRX1329394","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329395","SRX1329395","SRX1329395","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329396","SRX1329396","SRX1329396","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329398","SRX1329398","SRX1329398","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329401","SRX1329401","SRX1329401","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329402","SRX1329402","SRX1329402","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329403","SRX1329403","SRX1329403","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329404","SRX1329404","SRX1329404","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329405","SRX1329405","SRX1329405","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329406","SRX1329406","SRX1329406","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329407","SRX1329407","SRX1329407","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329408","SRX1329408","SRX1329408","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329409","SRX1329409","SRX1329409","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329410","SRX1329410","SRX1329410","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329411","SRX1329411","SRX1329411","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329412","SRX1329412","SRX1329412","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329413","SRX1329413","SRX1329413","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329414","SRX1329414","SRX1329414","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329415","SRX1329415","SRX1329415","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329416","SRX1329416","SRX1329416","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329418","SRX1329418","SRX1329418","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329419","SRX1329419","SRX1329419","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329420","SRX1329420","SRX1329420","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329421","SRX1329421","SRX1329421","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329422","SRX1329422","SRX1329422","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329423","SRX1329423","SRX1329423","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329424","SRX1329424","SRX1329424","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329425","SRX1329425","SRX1329425","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329426","SRX1329426","SRX1329426","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329427","SRX1329427","SRX1329427","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329428","SRX1329428","SRX1329428","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329429","SRX1329429","SRX1329429","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329431","SRX1329431","SRX1329431","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329432","SRX1329432","SRX1329432","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329433","SRX1329433","SRX1329433","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329434","SRX1329434","SRX1329434","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329435","SRX1329435","SRX1329435","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329436","SRX1329436","SRX1329436","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329437","SRX1329437","SRX1329437","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329438","SRX1329438","SRX1329438","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329440","SRX1329440","SRX1329440","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329441","SRX1329441","SRX1329441","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329442","SRX1329442","SRX1329442","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329443","SRX1329443","SRX1329443","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329444","SRX1329444","SRX1329444","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329445","SRX1329445","SRX1329445","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329446","SRX1329446","SRX1329446","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329447","SRX1329447","SRX1329447","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329449","SRX1329449","SRX1329449","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329450","SRX1329450","SRX1329450","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329451","SRX1329451","SRX1329451","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329452","SRX1329452","SRX1329452","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329453","SRX1329453","SRX1329453","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329454","SRX1329454","SRX1329454","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329455","SRX1329455","SRX1329455","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329457","SRX1329457","SRX1329457","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329458","SRX1329458","SRX1329458","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329459","SRX1329459","SRX1329459","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329461","SRX1329461","SRX1329461","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329462","SRX1329462","SRX1329462","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329463","SRX1329463","SRX1329463","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329467","SRX1329467","SRX1329467","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329468","SRX1329468","SRX1329468","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329469","SRX1329469","SRX1329469","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329471","SRX1329471","SRX1329471","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329473","SRX1329473","SRX1329473","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329474","SRX1329474","SRX1329474","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329475","SRX1329475","SRX1329475","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329476","SRX1329476","SRX1329476","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329477","SRX1329477","SRX1329477","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329481","SRX1329481","SRX1329481","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329483","SRX1329483","SRX1329483","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329484","SRX1329484","SRX1329484","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329485","SRX1329485","SRX1329485","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329486","SRX1329486","SRX1329486","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329487","SRX1329487","SRX1329487","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329488","SRX1329488","SRX1329488","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329489","SRX1329489","SRX1329489","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329490","SRX1329490","SRX1329490","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329491","SRX1329491","SRX1329491","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329492","SRX1329492","SRX1329492","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329493","SRX1329493","SRX1329493","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329494","SRX1329494","SRX1329494","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329496","SRX1329496","SRX1329496","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329497","SRX1329497","SRX1329497","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329498","SRX1329498","SRX1329498","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329499","SRX1329499","SRX1329499","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329500","SRX1329500","SRX1329500","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329501","SRX1329501","SRX1329501","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329503","SRX1329503","SRX1329503","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329505","SRX1329505","SRX1329505","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329506","SRX1329506","SRX1329506","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329507","SRX1329507","SRX1329507","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329508","SRX1329508","SRX1329508","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329509","SRX1329509","SRX1329509","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329510","SRX1329510","SRX1329510","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329512","SRX1329512","SRX1329512","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329514","SRX1329514","SRX1329514","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329515","SRX1329515","SRX1329515","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329516","SRX1329516","SRX1329516","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329517","SRX1329517","SRX1329517","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329519","SRX1329519","SRX1329519","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329520","SRX1329520","SRX1329520","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329521","SRX1329521","SRX1329521","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329522","SRX1329522","SRX1329522","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329523","SRX1329523","SRX1329523","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329526","SRX1329526","SRX1329526","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329531","SRX1329531","SRX1329531","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329532","SRX1329532","SRX1329532","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329533","SRX1329533","SRX1329533","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329534","SRX1329534","SRX1329534","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329535","SRX1329535","SRX1329535","female","whole body","whole body","a","adult","SRP064744",NA
"SRX1329536","SRX1329536","SRX1329536","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329537","SRX1329537","SRX1329537","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1329538","SRX1329538","SRX1329538","male","whole body","whole body","a","adult","SRP064744",NA
"SRX1331542","SRX1331542","SRX1331542","unknown","eye disc","disc","l3","larva","SRP064742",NA
"SRX1331543","SRX1331543","SRX1331543","unknown","eye disc","disc","l3","larva","SRP064742",NA
"SRX1331544","SRX1331544","SRX1331544","unknown","eye disc","disc","l3","larva","SRP064742",NA
"SRX1331545","SRX1331545","SRX1331545","unknown","eye disc","disc","l3","larva","SRP064742",NA
"SRX1331546","SRX1331546","SRX1331546","unknown","eye disc","disc","l3","larva","SRP064742",NA
"SRX1331547","SRX1331547","SRX1331547","unknown","eye disc","disc","l3","larva","SRP064742",NA
"SRX1331548","SRX1331548","SRX1331548","unknown","eye disc","disc","l3","larva","SRP064742",NA
"SRX1331549","SRX1331549","SRX1331549","unknown","eye disc","disc","l3","larva","SRP064742",NA
"SRX1339390","SRX1339390","SRX1339390","unknown","eye disc","disc","l3","larva","SRP064869",NA
"SRX1339391","SRX1339391","SRX1339391","unknown","eye disc","disc","l3","larva","SRP064869",NA
"SRX1339392","SRX1339392","SRX1339392","unknown","eye disc","disc","l3","larva","SRP064869",NA
"SRX1339393","SRX1339393","SRX1339393","unknown","eye disc","disc","l3","larva","SRP064869",NA
"SRX1339394","SRX1339394","SRX1339394","unknown","eye disc","disc","l3","larva","SRP064869",NA
"SRX1339395","SRX1339395","SRX1339395","unknown","eye disc","disc","l3","larva","SRP064869",NA
"SRX1339396","SRX1339396","SRX1339396","unknown","eye disc","disc","l3","larva","SRP064869",NA
"SRX1342061","SRX1342061","SRX1342061","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342062","SRX1342062","SRX1342062","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342063","SRX1342063","SRX1342063","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342064","SRX1342064","SRX1342064","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342065","SRX1342065","SRX1342065","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342066","SRX1342066","SRX1342066","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342067","SRX1342067","SRX1342067","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342068","SRX1342068","SRX1342068","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342069","SRX1342069","SRX1342069","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342070","SRX1342070","SRX1342070","male","whole body","whole body","a3","adult","SRP064917",NA
"SRX1342071","SRX1342071","SRX1342071","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342072","SRX1342072","SRX1342072","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342073","SRX1342073","SRX1342073","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342074","SRX1342074","SRX1342074","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342075","SRX1342075","SRX1342075","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342076","SRX1342076","SRX1342076","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342077","SRX1342077","SRX1342077","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342078","SRX1342078","SRX1342078","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342079","SRX1342079","SRX1342079","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342080","SRX1342080","SRX1342080","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342081","SRX1342081","SRX1342081","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342082","SRX1342082","SRX1342082","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342083","SRX1342083","SRX1342083","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342084","SRX1342084","SRX1342084","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342085","SRX1342085","SRX1342085","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342086","SRX1342086","SRX1342086","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342087","SRX1342087","SRX1342087","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342088","SRX1342088","SRX1342088","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342089","SRX1342089","SRX1342089","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342090","SRX1342090","SRX1342090","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342091","SRX1342091","SRX1342091","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342092","SRX1342092","SRX1342092","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342093","SRX1342093","SRX1342093","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342094","SRX1342094","SRX1342094","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342095","SRX1342095","SRX1342095","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342096","SRX1342096","SRX1342096","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342097","SRX1342097","SRX1342097","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342098","SRX1342098","SRX1342098","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342099","SRX1342099","SRX1342099","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342100","SRX1342100","SRX1342100","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342101","SRX1342101","SRX1342101","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342102","SRX1342102","SRX1342102","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342103","SRX1342103","SRX1342103","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342104","SRX1342104","SRX1342104","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342105","SRX1342105","SRX1342105","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342106","SRX1342106","SRX1342106","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342107","SRX1342107","SRX1342107","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342108","SRX1342108","SRX1342108","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342109","SRX1342109","SRX1342109","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342110","SRX1342110","SRX1342110","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342111","SRX1342111","SRX1342111","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342112","SRX1342112","SRX1342112","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342113","SRX1342113","SRX1342113","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342114","SRX1342114","SRX1342114","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342115","SRX1342115","SRX1342115","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342116","SRX1342116","SRX1342116","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342117","SRX1342117","SRX1342117","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342118","SRX1342118","SRX1342118","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342119","SRX1342119","SRX1342119","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342120","SRX1342120","SRX1342120","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342121","SRX1342121","SRX1342121","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342122","SRX1342122","SRX1342122","male","whole body","whole body","a","adult","SRP064917",NA
"SRX1342123","SRX1342123","SRX1342123","male","whole body","whole body","a","adult","SRP064917",NA
"SRX135201","SRX135201","SRX135201","unknown","brain","brain","a","adult","SRP012051",NA
"SRX135202","SRX135202","SRX135202","unknown","head neuron","neuron","a","adult","SRP012051",NA
"SRX135203","SRX135203","SRX135203","unknown","head neuron","neuron","a","adult","SRP012051",NA
"SRX135204","SRX135204","SRX135204","unknown","kenyon cell","neuron","a","adult","SRP012051",NA
"SRX135205","SRX135205","SRX135205","unknown","kenyon cell","neuron","a","adult","SRP012051",NA
"SRX135206","SRX135206","SRX135206","unknown","octopaminergic cell","neuron","a","adult","SRP012051",NA
"SRX135207","SRX135207","SRX135207","unknown","octopaminergic cell","neuron","a","adult","SRP012051",NA
"SRX1355781","SRX1355781","SRX1355781","female","midgut part","gut","a9","adult","SRP064992",NA
"SRX1355782","SRX1355782","SRX1355782","female","midgut part","gut","a9","adult","SRP064992",NA
"SRX1355783","SRX1355783","SRX1355783","female","midgut part","gut","a5","adult","SRP064993",NA
"SRX1355784","SRX1355784","SRX1355784","female","midgut part","gut","a45","adult","SRP064993",NA
"SRX1357143","SRX1357143","SRX1357143","unknown","wing disc","disc","l3","larva","SRP065030",NA
"SRX1357144","SRX1357144","SRX1357144","unknown","wing disc","disc","l3","larva","SRP065030",NA
"SRX1357145","SRX1357145","SRX1357145","unknown","wing disc","disc","l3","larva","SRP065030",NA
"SRX1357146","SRX1357146","SRX1357146","unknown","wing disc","disc","l3","larva","SRP065030",NA
"SRX1357164","SRX1357164","SRX1357164","female","midgut progenitor cell","gut","a","adult","SRP065031",NA
"SRX1357165","SRX1357165","SRX1357165","female","midgut progenitor cell","gut","a","adult","SRP065031",NA
"SRX1357166","SRX1357166","SRX1357166","female","midgut progenitor cell","gut","a","adult","SRP065031",NA
"SRX1357167","SRX1357167","SRX1357167","female","midgut progenitor cell","gut","a","adult","SRP065031",NA
"SRX1357168","SRX1357168","SRX1357168","female","midgut progenitor cell","gut","a","adult","SRP065031",NA
"SRX1357169","SRX1357169","SRX1357169","female","midgut progenitor cell","gut","a","adult","SRP065031",NA
"SRX1357170","SRX1357170","SRX1357170","female","midgut progenitor cell","gut","a","adult","SRP065031",NA
"SRX1357171","SRX1357171","SRX1357171","female","midgut progenitor cell","gut","a","adult","SRP065031",NA
"SRX1386954","SRX1386954","SRX1386954","mixed","head","head","pu8","pupae","SRP065309",NA
"SRX1387030","SRX1387030","SRX1387030","mixed","head","head","pu8","pupae","SRP065309",NA
"SRX1388463","SRX1388463","SRX1388463","mixed","head","head","pu8","pupae","SRP065309",NA
