curr_SRX,sex,simplified_tissue,broad_tissue,simpled_dev,broad_stage
SRX1834972,male,head,head,a8,adult
SRX1439602,male,head,head,a7,adult
SRX1835059,male,head,head,a8,adult
SRX1834977,male,head,head,a8,adult
SRX2878287,female,head,head,a,adult
SRX1892931,mixed,head,head,a,adult
SRX1006444,female,head,head,a,adult
SRX1005957,female,head,head,a,adult
SRX1005918,female,head,head,a,adult
SRX1006370,female,head,head,a,adult
SRX1006489,female,head,head,a,adult
SRX1006660,female,head,head,a,adult
SRX1006208,female,head,head,a,adult
SRX2010811,unknown,head,head,a,adult
SRX157603,unknown,head,head,a10,adult
ERX2372797,male,head,head,a,adult
SRX1005968,female,head,head,a,adult
SRX1006052,female,head,head,a,adult
SRX1006221,female,head,head,a,adult
SRX1006415,female,head,head,a,adult
DRX017270,female,head,head,a,adult
SRX684108,female,head,head,a,adult
SRX1834995,male,head,head,a8,adult
SRX1005973,female,head,head,a,adult
SRX684110,male,head,head,a,adult
SRX684112,male,head,head,a,adult
SRX1006583,female,head,head,a,adult
SRX1005855,female,head,head,a,adult
SRX683872,female,head,head,a,adult
SRX1006024,female,head,head,a,adult
SRX1006466,female,head,head,a,adult
SRX170949,male,head,head,a,adult
SRX684042,male,head,head,a,adult
SRX1006268,female,head,head,a,adult
SRX978770,unknown,head,head,a,adult
SRX1006638,female,head,head,a,adult
SRX1006552,female,head,head,a,adult
SRX1006718,female,head,head,a,adult
SRX684084,female,head,head,a,adult
SRX1835092,male,head,head,a8,adult
SRX1006155,female,head,head,a,adult
SRX978778,unknown,head,head,a,adult
SRX1834975,male,head,head,a8,adult
SRX683890,female,head,head,a,adult
SRX1835099,male,head,head,a8,adult
SRX488415,unknown,head,head,a,adult
SRX807142,male,head,head,a49,adult
SRX1006483,female,head,head,a,adult
SRX1006446,female,head,head,a,adult
SRX1006740,female,head,head,a,adult
SRX1006615,female,head,head,a,adult
SRX1006006,female,head,head,a,adult
SRX2010812,unknown,head,head,a,adult
SRX357300,male,head,head,a,adult
SRX1835029,male,head,head,a8,adult
SRX2878249,male,head,head,a,adult
SRX357302,female,head,head,a,adult
SRX357303,female,head,head,a,adult
SRX109273,male,head,head,a4,adult
SRX1006414,female,head,head,a,adult
SRX357308,male,head,head,a,adult
SRX357309,male,head,head,a,adult
DRX017265,female,head,head,a,adult
SRX1006255,female,head,head,a,adult
SRX1743674,female,head,head,a5,adult
SRX1006258,female,head,head,a,adult
SRX1006013,female,head,head,a,adult
ERX2160988,male,head,head,a,adult
SRX357316,male,head,head,a,adult
ERX2160990,male,head,head,a,adult
SRX978766,unknown,head,head,a,adult
SRX684040,male,head,head,a,adult
SRX1006548,female,head,head,a,adult
SRX1835087,male,head,head,a8,adult
SRX1005945,female,head,head,a,adult
SRX1006678,female,head,head,a,adult
SRX1006389,female,head,head,a,adult
SRX1006351,female,head,head,a,adult
SRX3291829,male,head,head,a,adult
SRX1006153,female,head,head,a,adult
SRX1006684,female,head,head,a,adult
SRX1637586,female,head,head,a2,adult
SRX1006723,female,head,head,a,adult
DRX017294,female,head,head,a,adult
DRX017291,male,head,head,a,adult
SRX1006318,female,head,head,a,adult
SRX1006364,female,head,head,a,adult
SRX3202299,male,head,head,a,adult
SRX357336,female,head,head,a,adult
SRX1819047,female,head,head,a1,adult
SRX1834945,male,head,head,a8,adult
SRX978789,unknown,head,head,a,adult
SRX683895,female,head,head,a,adult
SRX978786,unknown,head,head,a,adult
SRX1006286,female,head,head,a,adult
SRX683937,female,head,head,a,adult
SRX2878292,male,head,head,a,adult
SRX1006412,female,head,head,a,adult
SRX1835071,male,head,head,a8,adult
SRX683941,female,head,head,a,adult
SRX494086,male,head,head,a1,adult
SRX142922,male,head,head,a20,adult
SRX2053341,male,head,head,a3,adult
SRX1006054,female,head,head,a,adult
SRX141935,male,head,head,a4,adult
SRX456471,male,head,head,a20,adult
SRX2053343,male,head,head,a3,adult
SRX1834957,male,head,head,a8,adult
SRX2831395,male,head,head,a7,adult
SRX684028,male,head,head,a,adult
SRX426467,female,head,head,a,adult
SRX1006352,female,head,head,a,adult
SRX1006513,female,head,head,a,adult
SRX1835049,male,head,head,a8,adult
SRX1005990,female,head,head,a,adult
SRX1005902,female,head,head,a,adult
SRX1006021,female,head,head,a,adult
SRX1006680,female,head,head,a,adult
SRX1005907,female,head,head,a,adult
SRX2321795,unknown,head,head,a3,adult
SRX1006154,female,head,head,a,adult
SRX1835053,male,head,head,a8,adult
SRX1006033,female,head,head,a,adult
SRX3222459,female,head,head,a,adult
SRX1005911,female,head,head,a,adult
SRX1006279,female,head,head,a,adult
SRX352003,male,head,head,a4,adult
SRX1006213,female,head,head,a,adult
SRX684090,female,head,head,a,adult
SRX1006216,female,head,head,a,adult
SRX1006695,female,head,head,a,adult
SRX1006081,female,head,head,a,adult
SRX494126,female,head,head,a20,adult
SRX142097,male,head,head,a4,adult
SRX1439612,male,head,head,a7,adult
SRX1006205,female,head,head,a,adult
SRX1834987,male,head,head,a8,adult
SRX683981,female,head,head,a,adult
SRX683982,female,head,head,a,adult
SRX141949,male,head,head,a4,adult
SRX3291745,male,head,head,a,adult
SRX1006702,female,head,head,a,adult
SRX1006332,female,head,head,a,adult
SRX1006335,female,head,head,a,adult
ERX2372803,male,head,head,a,adult
SRX1006337,female,head,head,a,adult
SRX1006708,female,head,head,a,adult
SRX2585870,unknown,head,head,a,adult
SRX1734344,male,head,head,a4,adult
SRX2585871,unknown,head,head,a,adult
SRX2585874,unknown,head,head,a,adult
SRX1006001,female,head,head,a,adult
SRX1006574,female,head,head,a,adult
SRX1006676,female,head,head,a,adult
SRX1006064,female,head,head,a,adult
SRX684075,female,head,head,a,adult
SRX1006474,female,head,head,a,adult
SRX1006720,female,head,head,a,adult
SRX1005846,female,head,head,a,adult
SRX1006117,female,head,head,a,adult
SRX867342,male,head,head,a,adult
SRX3291728,female,head,head,a,adult
SRX1006438,female,head,head,a,adult
SRX1005985,female,head,head,a,adult
SRX684089,female,head,head,a,adult
SRX2325627,male,head,head,a1,adult
SRX1006074,female,head,head,a,adult
SRX1006484,female,head,head,a,adult
SRX683887,female,head,head,a,adult
SRX1663881,unknown,head,head,a,adult
SRX978762,unknown,head,head,a,adult
SRX2878245,female,head,head,a,adult
SRX1006486,female,head,head,a,adult
SRX1006487,female,head,head,a,adult
SRX1006368,female,head,head,a,adult
SRX1005996,female,head,head,a,adult
SRX1006491,female,head,head,a,adult
SRX3305884,female,head,head,a4,adult
SRX3312990,female,head,head,a4,adult
DRX017300,female,head,head,a,adult
SRX2947710,female,head,head,a,adult
SRX1006010,female,head,head,a,adult
SRX157605,unknown,head,head,a10,adult
SRX1006379,female,head,head,a,adult
SRX109267,female,head,head,a1,adult
SRX1006746,female,head,head,a,adult
SRX1073683,mixed,head,head,a,adult
DRX017313,female,head,head,a,adult
SRX978760,unknown,head,head,a,adult
SRX1006502,female,head,head,a,adult
SRX1006507,female,head,head,a,adult
SRX1006383,female,head,head,a,adult
SRX978767,unknown,head,head,a,adult
SRX1006228,female,head,head,a,adult
SRX1734355,female,head,head,a4,adult
SRX1835047,male,head,head,a8,adult
SRX109288,male,head,head,a20,adult
SRX1006510,female,head,head,a,adult
SRX978772,unknown,head,head,a,adult
SRX978773,unknown,head,head,a,adult
SRX351996,female,head,head,a4,adult
SRX1006559,female,head,head,a,adult
SRX357328,male,head,head,a,adult
SRX978777,unknown,head,head,a,adult
SRX1665292,female,head,head,a,adult
SRX684008,female,head,head,a,adult
SRX1665295,female,head,head,a,adult
SRX1006037,female,head,head,a,adult
SRX1006158,female,head,head,a,adult
SRX1006159,female,head,head,a,adult
SRX1006082,female,head,head,a,adult
SRX1005963,female,head,head,a,adult
SRX1006528,female,head,head,a,adult
SRX1834943,male,head,head,a8,adult
SRX1006118,female,head,head,a,adult
SRX1006372,female,head,head,a,adult
SRX1006530,female,head,head,a,adult
SRX978791,unknown,head,head,a,adult
SRX683939,female,head,head,a,adult
SRX1006411,female,head,head,a,adult
SRX1006532,female,head,head,a8,adult
SRX1834949,male,head,head,a8,adult
SRX1006171,female,head,head,a,adult
SRX1006169,female,head,head,a,adult
SRX1006535,female,head,head,a,adult
SRX493991,male,head,head,a20,adult
SRX1006539,female,head,head,a,adult
SRX1006538,female,head,head,a,adult
SRX1006420,female,head,head,a,adult
SRX1835085,male,head,head,a8,adult
SRX1835082,male,head,head,a8,adult
SRX1006542,female,head,head,a,adult
SRX2831398,male,head,head,a7,adult
DRX017295,female,head,head,a,adult
SRX1006512,female,head,head,a,adult
SRX2831401,male,head,head,a7,adult
SRX1006549,female,head,head,a,adult
SRX1006551,female,head,head,a,adult
SRX1006430,female,head,head,a,adult
SRX1834966,male,head,head,a8,adult
SRX1006553,female,head,head,a,adult
SRX1835052,male,head,head,a8,adult
SRX1006193,female,head,head,a,adult
SRX1834970,male,head,head,a8,adult
SRX1006190,female,head,head,a,adult
SRX1006035,female,head,head,a,adult
SRX1892927,mixed,head,head,a,adult
SRX1439601,male,head,head,a23,adult
SRX1006561,female,head,head,a,adult
SRX684092,female,head,head,a,adult
SRX1819043,male,head,head,a1,adult
SRX1006694,female,head,head,a,adult
SRX1834980,male,head,head,a8,adult
SRX1006447,female,head,head,a,adult
SRX1006329,female,head,head,a,adult
SRX1834985,male,head,head,a8,adult
SRX1006048,female,head,head,a,adult
SRX2878040,male,head,head,a,adult
SRX142099,male,head,head,a4,adult
SRX807138,male,head,head,a49,adult
SRX1006570,female,head,head,a,adult
SRX1006173,female,head,head,a,adult
SRX142101,male,head,head,a4,adult
SRX684105,female,head,head,a,adult
SRX1834992,male,head,head,a8,adult
SRX1834993,male,head,head,a8,adult
SRX645145,unknown,head,head,a4,adult
SRX684109,female,head,head,a,adult
SRX1006582,female,head,head,a,adult
SRX1834997,male,head,head,a8,adult
SRX1834998,male,head,head,a8,adult
SRX1835001,male,head,head,a8,adult
SRX1006103,female,head,head,a,adult
SRX684032,male,head,head,a,adult
SRX2831400,male,head,head,a7,adult
SRX1835005,male,head,head,a8,adult
SRX1835006,male,head,head,a8,adult
SRX684001,female,head,head,a,adult
SRX1006468,female,head,head,a,adult
SRX672133,unknown,head,head,a,adult
SRX1006721,female,head,head,a,adult
SRX1006555,female,head,head,a,adult
SRX688904,unknown,head,head,a,adult
SRX1006461,female,head,head,a,adult
SRX365379,female,head,head,a2,adult
SRX1006556,female,head,head,a,adult
SRX684006,female,head,head,a,adult
SRX683889,female,head,head,a,adult
SRX1006729,female,head,head,a,adult
SRX1006003,female,head,head,a,adult
SRX683973,female,head,head,a,adult
SRX3305186,female,head,head,a4,adult
SRX3302445,female,head,head,a9,adult
SRX1006243,female,head,head,a,adult
SRX1005878,female,head,head,a,adult
SRX1835024,male,head,head,a8,adult
SRX1006246,female,head,head,a,adult
SRX1835026,male,head,head,a8,adult
SRX1006247,female,head,head,a,adult
DRX017301,female,head,head,a,adult
SRX1006251,female,head,head,a,adult
SRX1005888,female,head,head,a,adult
SRX1006378,female,head,head,a,adult
SRX807125,male,head,head,a35,adult
SRX1006012,female,head,head,a,adult
SRX1073689,mixed,head,head,a,adult
SRX2173490,male,head,head,a28,adult
SRX978784,unknown,head,head,a,adult
SRX807117,male,head,head,a21,adult
SRX1835038,male,head,head,a8,adult
SRX1005896,female,head,head,a,adult
SRX1006632,female,head,head,a,adult
SRX1006633,female,head,head,a,adult
DRX017279,male,head,head,a,adult
SRX672129,unknown,head,head,a,adult
SRX1006637,female,head,head,a,adult
SRX1006146,female,head,head,a,adult
SRX978769,unknown,head,head,a,adult
SRX848649,male,head,head,a7,adult
SRX1005901,female,head,head,a,adult
SRX1005903,female,head,head,a,adult
SRX1006516,female,head,head,a,adult
SRX1006517,female,head,head,a,adult
SRX978776,unknown,head,head,a,adult
SRX1006644,female,head,head,a,adult
SRX1074889,male,head,head,a5,adult
SRX1835056,male,head,head,a8,adult
SRX1006647,female,head,head,a,adult
SRX1005913,female,head,head,a,adult
SRX488414,unknown,head,head,a,adult
SRX848675,male,head,head,a7,adult
SRX352005,male,head,head,a4,adult
SRX1005917,female,head,head,a,adult
SRX1006655,female,head,head,a,adult
SRX1006529,female,head,head,a,adult
SRX2009807,male,head,head,a,adult
SRX978788,unknown,head,head,a,adult
SRX1006045,female,head,head,a,adult
SRX1005924,female,head,head,a,adult
SRX1006288,female,head,head,a,adult
SRX1835069,male,head,head,a8,adult
SRX1006053,female,head,head,a,adult
SRX1835072,male,head,head,a8,adult
SRX1743670,female,head,head,a5,adult
SRX807123,male,head,head,a35,adult
SRX1006297,female,head,head,a,adult
SRX141933,male,head,head,a4,adult
SRX1006299,female,head,head,a,adult
SRX1006301,female,head,head,a,adult
SRX1834956,male,head,head,a8,adult
SRX1005978,female,head,head,a,adult
SRX1006058,female,head,head,a,adult
SRX1743680,female,head,head,a55,adult
SRX1005941,female,head,head,a,adult
SRX1835044,male,head,head,a8,adult
SRX1006267,female,head,head,a,adult
SRX1006306,female,head,head,a,adult
SRX3222450,female,head,head,a,adult
SRX1006309,female,head,head,a,adult
SRX1005943,female,head,head,a,adult
SRX494029,female,head,head,a1,adult
SRX684083,female,head,head,a,adult
SRX1835091,male,head,head,a8,adult
SRX1006313,female,head,head,a,adult
SRX1637585,female,head,head,a2,adult
SRX684094,female,head,head,a,adult
SRX1006480,female,head,head,a,adult
SRX978783,unknown,head,head,a,adult
SRX3222460,female,head,head,a,adult
SRX1006689,female,head,head,a,adult
SRX1006198,female,head,head,a,adult
SRX1006320,female,head,head,a,adult
SRX1005845,female,head,head,a,adult
SRX1006693,female,head,head,a,adult
SRX1005958,female,head,head,a,adult
SRX1006214,female,head,head,a,adult
SRX1006373,female,head,head,a,adult
SRX1834984,male,head,head,a8,adult
SRX2009805,unknown,head,head,a,adult
SRX1006572,female,head,head,a,adult
SRX1006016,female,head,head,a,adult
SRX1006575,female,head,head,a,adult
SRX1006331,female,head,head,a,adult
SRX807144,male,head,head,a35,adult
SRX1006333,female,head,head,a,adult
SRX683985,female,head,head,a,adult
SRX1006705,female,head,head,a,adult
SRX1005971,female,head,head,a,adult
ERX2372807,male,head,head,a,adult
SRX1006463,female,head,head,a,adult
SRX1006336,female,head,head,a,adult
SRX672123,unknown,head,head,a,adult
SRX1006711,female,head,head,a,adult
SRX672125,unknown,head,head,a,adult
SRX1006303,female,head,head,a,adult
SRX1006346,female,head,head,a,adult
SRX1006344,female,head,head,a,adult
SRX1006751,female,head,head,a,adult
SRX1006104,female,head,head,a,adult
SRX1734356,female,head,head,a4,adult
SRX1734354,female,head,head,a4,adult
SRX672131,unknown,head,head,a,adult
SRX688906,unknown,head,head,a,adult
SRX1835012,male,head,head,a8,adult
SRX971852,female,head,head,a,adult
SRX1006724,female,head,head,a,adult
SRX1006114,female,head,head,a,adult
SRX1005992,female,head,head,a,adult
SRX684010,female,head,head,a,adult
SRX1005987,female,head,head,a,adult
SRX109254,male,head,head,a20,adult
SRX3301206,female,head,head,a9,adult
SRX1005842,female,head,head,a,adult
SRX684096,male,head,head,a,adult
SRX493971,female,head,head,a4,adult
SRX1006732,female,head,head,a,adult
SRX683894,female,head,head,a,adult
SRX1005962,female,head,head,a,adult
SRX2878248,male,head,head,a,adult
SRX1006739,female,head,head,a,adult
SRX1838081,mixed,head,head,a,adult
SRX683899,female,head,head,a,adult
SRX1006128,female,head,head,a,adult
SRX357305,male,head,head,a,adult
SRX357306,male,head,head,a,adult
SRX1006744,female,head,head,a,adult
SRX1006254,female,head,head,a,adult
SRX1006750,female,head,head,a,adult
SRX683904,female,head,head,a,adult
SRX1743675,female,head,head,a5,adult
SRX1006747,female,head,head,a,adult
SRX357314,male,head,head,a,adult
SRX1006381,female,head,head,a,adult
ERX2160989,male,head,head,a,adult
SRX3202304,male,head,head,a,adult
SRX1005986,female,head,head,a,adult
SRX1006264,female,head,head,a,adult
SRX1835046,male,head,head,a8,adult
SRX1006636,female,head,head,a,adult
SRX1006269,female,head,head,a,adult
SRX1006759,female,head,head,a,adult
SRX2276825,female,head,head,a10,adult
SRX1006640,female,head,head,a,adult
SRX1006643,female,head,head,a,adult
SRX1006642,female,head,head,a,adult
SRX1665288,female,head,head,a,adult
SRX2374086,mixed,head,head,a,adult
SRX109308,male,head,head,a1,adult
SRX1006397,female,head,head,a,adult
SRX109310,female,head,head,a4,adult
SRX357333,male,head,head,a,adult
SRX2878288,female,head,head,a,adult
SRX357335,male,head,head,a,adult
SRX1006038,female,head,head,a,adult
SRX488417,unknown,head,head,a,adult
SRX978787,unknown,head,head,a,adult
SRX1678495,male,head,head,a,adult
SRX1835064,male,head,head,a8,adult
SRX1006043,female,head,head,a,adult
SRX1006047,female,head,head,a,adult
SRX1006044,female,head,head,a,adult
SRX627347,unknown,head,head,a,adult
SRX683980,female,head,head,a,adult
SRX683940,female,head,head,a,adult
SRX807139,male,head,head,a49,adult
SRX2053339,male,head,head,a3,adult
SRX683944,female,head,head,a,adult
SRX684023,male,head,head,a,adult
SRX1006174,female,head,head,a,adult
SRX683946,female,head,head,a,adult
SRX313713,unknown,head,head,a,adult
SRX978754,unknown,head,head,a,adult
SRX141939,male,head,head,a4,adult
SRX683951,female,head,head,a,adult
SRX1073684,mixed,head,head,a,adult
SRX683952,female,head,head,a,adult
SRX1834960,male,head,head,a8,adult
SRX683956,female,head,head,a,adult
SRX684077,female,head,head,a,adult
SRX1834962,male,head,head,a8,adult
SRX1006107,female,head,head,a,adult
SRX684080,female,head,head,a,adult
SRX1006431,female,head,head,a,adult
SRX683961,female,head,head,a,adult
SRX018867,male,head,head,a,adult
SRX683963,female,head,head,a,adult
SRX1006434,female,head,head,a,adult
SRX1005951,female,head,head,a,adult
SRX683966,female,head,head,a,adult
SRX3291729,male,head,head,a,adult
SRX684097,male,head,head,a,adult
SRX1204196,male,head,head,a7,adult
SRX1204197,male,head,head,a7,adult
SRX493972,female,head,head,a1,adult
SRX683972,female,head,head,a,adult
SRX1005997,female,head,head,a,adult
SRX1744421,female,head,head,a5,adult
ERX2372792,male,head,head,a,adult
SRX1006327,female,head,head,a,adult
SRX2878039,male,head,head,a,adult
SRX1006451,female,head,head,a,adult
ERX2372796,male,head,head,a,adult
SRX1006375,female,head,head,a,adult
SRX684101,male,head,head,a,adult
SRX1006086,female,head,head,a,adult
SRX1006211,female,head,head,a,adult
SRX1006456,female,head,head,a,adult
SRX1006457,female,head,head,a,adult
SRX683986,female,head,head,a,adult
SRX1006014,female,head,head,a,adult
SRX645146,unknown,head,head,a4,adult
SRX2585869,unknown,head,head,a,adult
SRX2585867,unknown,head,head,a,adult
SRX683991,female,head,head,a,adult
ERX2372808,male,head,head,a,adult
SRX1005857,female,head,head,a,adult
SRX493987,female,head,head,a4,adult
SRX1006387,female,head,head,a,adult
SRX1006226,female,head,head,a,adult
SRX672130,unknown,head,head,a,adult
SRX683877,female,head,head,a,adult
SRX1005865,female,head,head,a,adult
SRX1006470,female,head,head,a,adult
SRX3291828,female,head,head,a,adult
SRX683882,female,head,head,a,adult
SRX755848,unknown,head,head,a,adult
SRX1006558,female,head,head,a,adult
SRX684002,female,head,head,a,adult
SRX684004,female,head,head,a,adult
SRX1006116,female,head,head,a,adult
SRX2899880,unknown,head,head,a,adult
SRX684051,male,head,head,a,adult
SRX1006726,female,head,head,a,adult
SRX3301408,female,head,head,a9,adult
ERX2156390,female,head,head,a,adult
SRX3301775,female,head,head,a9,adult
SRX684014,female,head,head,a,adult
SRX684015,female,head,head,a,adult
SRX1006123,female,head,head,a,adult
SRX684056,female,head,head,a,adult
SRX684100,female,head,head,a,adult
SRX1204193,male,head,head,a7,adult
SRX1006084,female,head,head,a,adult
SRX1006490,female,head,head,a,adult
DRX017258,female,head,head,a,adult
SRX1006495,female,head,head,a,adult
SRX1006129,female,head,head,a,adult
SRX1006621,female,head,head,a,adult
SRX2947714,female,head,head,a,adult
DRX017307,female,head,head,a,adult
SRX3202293,male,head,head,a,adult
SRX1204205,male,head,head,a7,adult
SRX2947718,female,head,head,a,adult
SRX1204208,male,head,head,a7,adult
SRX1006098,female,head,head,a,adult
SRX2947722,female,head,head,a,adult
SRX1006756,female,head,head,a,adult
SRX1006635,female,head,head,a,adult
SRX971847,female,head,head,a,adult
SRX3202307,male,head,head,a,adult
SRX1073685,mixed,head,head,a,adult
SRX1006429,female,head,head,a,adult
SRX1734345,male,head,head,a4,adult
DRX017331,female,head,head,a,adult
SRX1006152,female,head,head,a,adult
SRX1006393,female,head,head,a,adult
SRX1006195,female,head,head,a,adult
SRX1074888,male,head,head,a5,adult
SRX684046,male,head,head,a,adult
SRX978779,unknown,head,head,a,adult
SRX1819038,female,head,head,a1,adult
SRX1819039,female,head,head,a1,adult
SRX684053,male,head,head,a,adult
SRX684055,male,head,head,a,adult
SRX1819041,male,head,head,a1,adult
SRX357337,female,head,head,a,adult
SRX357338,female,head,head,a,adult
DRX017339,male,head,head,a,adult
SRX1005920,female,head,head,a,adult
SRX1005919,female,head,head,a,adult
DRX017343,female,head,head,a,adult
SRX1834944,male,head,head,a8,adult
SRX1006009,female,head,head,a,adult
SRX1834947,male,head,head,a8,adult
SRX1006167,female,head,head,a,adult
SRX1006380,female,head,head,a,adult
SRX1006355,female,head,head,a,adult
SRX1006533,female,head,head,a,adult
SRX1005928,female,head,head,a,adult
SRX1006536,female,head,head,a,adult
SRX1006055,female,head,head,a,adult
SRX1006540,female,head,head,a,adult
SRX683948,female,head,head,a,adult
SRX1734350,male,head,head,a4,adult
SRX1006057,female,head,head,a,adult
SRX978802,unknown,head,head,a,adult
SRX1006544,female,head,head,a,adult
SRX141941,male,head,head,a4,adult
SRX141942,male,head,head,a4,adult
SRX1006201,female,head,head,a,adult
SRX141944,male,head,head,a4,adult
SRX1006184,female,head,head,a,adult
SRX1006550,female,head,head,a,adult
SRX863872,unknown,head,head,a,adult
SRX1006432,female,head,head,a,adult
SRX1834968,male,head,head,a8,adult
SRX1006111,female,head,head,a,adult
SRX1006191,female,head,head,a,adult
SRX2831410,male,head,head,a7,adult
SRX2831412,male,head,head,a7,adult
SRX684088,female,head,head,a,adult
SRX807132,male,head,head,a35,adult
SRX684091,female,head,head,a,adult
SRX142089,male,head,head,a4,adult
SRX683971,female,head,head,a,adult
SRX1834979,male,head,head,a8,adult
SRX1892933,mixed,head,head,a,adult
ERX2372791,male,head,head,a,adult
SRX1744420,female,head,head,a5,adult
SRX1439611,male,head,head,a23,adult
SRX142096,male,head,head,a4,adult
SRX1892937,mixed,head,head,a,adult
SRX1570211,female,head,head,a4,adult
SRX1006571,female,head,head,a,adult
SRX1006700,female,head,head,a,adult
SRX1570212,female,head,head,a4,adult
SRX1439617,male,head,head,a7,adult
SRX684104,female,head,head,a,adult
SRX157604,unknown,head,head,a10,adult
SRX684106,female,head,head,a,adult
SRX157606,unknown,head,head,a10,adult
ERX2372805,male,head,head,a,adult
SRX645147,unknown,head,head,a4,adult
SRX1006580,female,head,head,a,adult
SRX807116,male,head,head,a21,adult
SRX978755,unknown,head,head,a,adult
SRX683871,female,head,head,a,adult
SRX1005856,female,head,head,a,adult
SRX672126,unknown,head,head,a,adult
SRX672128,unknown,head,head,a,adult
SRX1006220,female,head,head,a,adult
SRX684000,female,head,head,a,adult
SRX683999,female,head,head,a,adult
SRX1005864,female,head,head,a,adult
SRX672134,unknown,head,head,a,adult
SRX1006361,female,head,head,a,adult
SRX1006231,female,head,head,a,adult
SRX2512368,unknown,head,head,a,adult
SRX1006725,female,head,head,a,adult
SRX1835014,male,head,head,a,adult
SRX684003,female,head,head,a,adult
SRX365383,female,head,head,a2,adult
SRX1457990,male,head,head,a,adult
SRX1006479,female,head,head,a,adult
SRX684011,female,head,head,a,adult
SRX1006210,female,head,head,a,adult
SRX1005960,female,head,head,a,adult
SRX1835022,male,head,head,a8,adult
SRX1006614,female,head,head,a,adult
SRX1006245,female,head,head,a,adult
SRX1005880,female,head,head,a,adult
SRX1006619,female,head,head,a,adult
SRX1005879,female,head,head,a,adult
SRX1005882,female,head,head,a,adult
SRX1006249,female,head,head,a,adult
SRX357304,male,head,head,a,adult
SRX1005887,female,head,head,a,adult
SRX1006250,female,head,head,a,adult
SRX357307,male,head,head,a,adult
SRX2173488,female,head,head,a42,adult
SRX1005891,female,head,head,a,adult
SRX1005890,female,head,head,a,adult
SRX1006626,female,head,head,a,adult
SRX1006628,female,head,head,a,adult
SRX1005895,female,head,head,a,adult
SRX1006022,female,head,head,a,adult
SRX2173494,male,head,head,a7,adult
SRX1734347,male,head,head,a4,adult
SRX1734348,male,head,head,a4,adult
SRX1073690,mixed,head,head,a,adult
SRX1006634,female,head,head,a,adult
SRX1835045,male,head,head,a8,adult
SRX1005900,female,head,head,a,adult
SRX848634,male,head,head,a7,adult
SRX848646,male,head,head,a7,adult
SRX351994,female,head,head,a4,adult
SRX1006356,female,head,head,a,adult
SRX986399,female,head,head,a,adult
DRX017333,male,head,head,a,adult
SRX1006645,female,head,head,a,adult
SRX2192533,male,head,head,a4,adult
SRX1835055,male,head,head,a8,adult
SRX352001,male,head,head,a4,adult
SRX1835057,male,head,head,a8,adult
SRX1835058,male,head,head,a8,adult
SRX488416,unknown,head,head,a,adult
SRX1835060,male,head,head,a8,adult
SRX1835061,male,head,head,a8,adult
SRX1006282,female,head,head,a,adult
SRX1006371,female,head,head,a,adult
SRX1006042,female,head,head,a,adult
SRX1835065,male,head,head,a8,adult
SRX1006287,female,head,head,a,adult
SRX488427,unknown,head,head,a,adult
SRX1006663,female,head,head,a,adult
SRX1005925,female,head,head,a,adult
SRX1006290,female,head,head,a,adult
SRX1006291,female,head,head,a,adult
SRX1006292,female,head,head,a,adult
SRX683943,female,head,head,a,adult
SRX1743673,female,head,head,a5,adult
SRX978796,unknown,head,head,a,adult
SRX978795,unknown,head,head,a,adult
SRX684038,male,head,head,a,adult
SRX684072,female,head,head,a,adult
SRX1743681,female,head,head,a55,adult
SRX1006023,female,head,head,a,adult
SRX1835081,male,head,head,a8,adult
SRX3203638,female,head,head,a3,adult
SRX1006673,female,head,head,a,adult
SRX1006675,female,head,head,a,adult
SRX1006674,female,head,head,a,adult
SRX1005989,female,head,head,a,adult
SRX1743684,female,head,head,a55,adult
SRX1006310,female,head,head,a,adult
SRX170953,male,head,head,a,adult
SRX1006311,female,head,head,a,adult
SRX1637581,female,head,head,a2,adult
SRX1835093,male,head,head,a8,adult
SRX1006315,female,head,head,a,adult
SRX978765,unknown,head,head,a,adult
SRX1006316,female,head,head,a,adult
SRX1439600,male,head,head,a23,adult
SRX978781,unknown,head,head,a,adult
SRX3222461,female,head,head,a,adult
SRX1835098,male,head,head,a8,adult
SRX1835101,male,head,head,a8,adult
SRX494114,female,head,head,a4,adult
SRX1663882,unknown,head,head,a,adult
SRX1006323,female,head,head,a,adult
SRX1006696,female,head,head,a,adult
SRX1006697,female,head,head,a,adult
SRX1006698,female,head,head,a,adult
SRX1006699,female,head,head,a,adult
SRX323030,unknown,head,head,a3,adult
ERX2372794,male,head,head,a,adult
SRX323033,unknown,head,head,a3,adult
SRX1005847,female,head,head,a,adult
SRX1006704,female,head,head,a,adult
SRX683984,female,head,head,a,adult
SRX1006334,female,head,head,a,adult
SRX1439619,male,head,head,a7,adult
SRX684107,female,head,head,a,adult
SRX1006452,female,head,head,a,adult
SRX978753,unknown,head,head,a,adult
SRX672122,unknown,head,head,a,adult
SRX672124,unknown,head,head,a,adult
SRX1006342,female,head,head,a,adult
SRX1005899,female,head,head,a,adult
SRX1005858,female,head,head,a,adult
SRX1006755,female,head,head,a,adult
SRX1835004,male,head,head,a8,adult
SRX1005860,female,head,head,a,adult
SRX1835007,male,head,head,a8,adult
SRX1006349,female,head,head,a,adult
SRX1006348,female,head,head,a,adult
SRX683879,female,head,head,a,adult
DRX017283,female,head,head,a,adult
