curr_SRX,sex,simplified_tissue,broad_tissue,simpled_dev,broad_stage
SRX1480756,unknown,antennae,antennae,pu7,pupae
SRX1480746,unknown,antennae,antennae,pu4,pupae
SRX1480762,unknown,antennae,antennae,a,adult
SRX1480748,unknown,antennae,antennae,pu4,pupae
SRX1480749,unknown,antennae,antennae,pu4,pupae
SRX1480755,unknown,antennae,antennae,pu7,pupae
SRX1480747,unknown,antennae,antennae,pu4,pupae
SRX1480758,unknown,antennae,antennae,a,adult
SRX1480757,unknown,antennae,antennae,pu7,pupae
SRX1480761,unknown,antennae,antennae,a,adult
SRX1480759,unknown,antennae,antennae,a,adult
SRX1480750,unknown,antennae,antennae,pu4,pupae
SRX1480752,unknown,antennae,antennae,pu7,pupae
SRX1480754,unknown,antennae,antennae,pu7,pupae
SRX2876829,male,antennae,antennae,a1,adult
SRX1480751,unknown,antennae,antennae,pu4,pupae
SRX1480760,unknown,antennae,antennae,a,adult
SRX1480753,unknown,antennae,antennae,pu7,pupae
SRX1100995,unknown,antennal lobe neuroblast,neuron,l1,larva
SRX1101002,unknown,antennal lobe neuroblast,neuron,l3,larva
SRX1100999,unknown,antennal lobe neuroblast,neuron,l2,larva
SRX1100998,unknown,antennal lobe neuroblast,neuron,l2,larva
SRX1100997,unknown,antennal lobe neuroblast,neuron,l1,larva
SRX1101004,unknown,antennal lobe neuroblast,neuron,l3,larva
SRX1101035,unknown,antennal lobe neuroblast,neuron,l3,larva
SRX1101000,unknown,antennal lobe neuroblast,neuron,l2,larva
SRX1101001,unknown,antennal lobe neuroblast,neuron,l3,larva
SRX1100996,unknown,antennal lobe neuroblast,neuron,l1,larva
SRX1101006,unknown,antennal lobe neuroblast,neuron,l3,larva
SRX1101003,unknown,antennal lobe neuroblast,neuron,l3,larva
SRX1101036,unknown,antennal lobe neuroblast,neuron,l3,larva
SRX1101005,unknown,antennal lobe neuroblast,neuron,l3,larva
SRX1101037,unknown,antennal lobe neuroblast,neuron,l3,larva
SRX1657715,female,anterior ovariole,ovary,a8,adult
SRX1715780,female,anterior ovariole,ovary,a1,adult
SRX1657714,female,anterior ovariole,ovary,a7,adult
SRX1715787,female,anterior ovariole,ovary,a3,adult
SRX1657712,female,anterior ovariole,ovary,a7,adult
SRX1715786,female,anterior ovariole,ovary,a3,adult
SRX1657713,female,anterior ovariole,ovary,a7,adult
SRX1657707,female,anterior ovariole,ovary,a5,adult
SRX1657708,female,anterior ovariole,ovary,a5,adult
SRX1715785,female,anterior ovariole,ovary,a3,adult
SRX1657710,female,anterior ovariole,ovary,a6,adult
SRX1715781,female,anterior ovariole,ovary,a1,adult
SRX1657711,female,anterior ovariole,ovary,a6,adult
SRX1715782,female,anterior ovariole,ovary,a2,adult
SRX1715784,female,anterior ovariole,ovary,a2,adult
SRX1657709,female,anterior ovariole,ovary,a6,adult
SRX1657716,female,anterior ovariole,ovary,a8,adult
SRX1715788,female,anterior ovariole,ovary,a4,adult
SRX1657717,female,anterior ovariole,ovary,a8,adult
SRX1657706,female,anterior ovariole,ovary,a5,adult
SRX1715789,female,anterior ovariole,ovary,a4,adult
SRX1715783,female,anterior ovariole,ovary,a2,adult
SRX1538748,male,body minus hemolymph,tissue carcass,a25,adult
SRX1538746,male,body minus hemolymph,tissue carcass,a2,adult
SRX1538752,male,body minus hemolymph,tissue carcass,a25,adult
SRX1538751,male,body minus hemolymph,tissue carcass,a25,adult
SRX1538745,male,body minus hemolymph,tissue carcass,a2,adult
SRX1538747,male,body minus hemolymph,tissue carcass,a25,adult
SRX1538750,male,body minus hemolymph,tissue carcass,a25,adult
SRX1538749,male,body minus hemolymph,tissue carcass,a25,adult
SRX1538743,male,body minus hemolymph,tissue carcass,a2,adult
SRX1538744,male,body minus hemolymph,tissue carcass,a2,adult
SRX1538753,male,body minus hemolymph,tissue carcass,a25,adult
SRX1538754,male,body minus hemolymph,tissue carcass,a25,adult
SRX122597,female,brain,brain,a,adult
SRX1892916,mixed,brain,brain,a,adult
SRX122606,female,brain,brain,a,adult
SRX1894096,mixed,brain,brain,a,adult
SRX1892925,mixed,brain,brain,a,adult
SRX122598,female,brain,brain,a,adult
SRX1744372,female,brain,brain,a,adult
SRX122594,female,brain,brain,a,adult
SRX1744370,female,brain,brain,a,adult
SRX1299406,mixed,brain,brain,l3,larva
SRX122604,female,brain,brain,a,adult
SRX1892924,mixed,brain,brain,a,adult
SRX122603,female,brain,brain,a,adult
SRX1894101,mixed,brain,brain,a,adult
SRX1744367,female,brain,brain,a,adult
SRX1894104,mixed,brain,brain,a,adult
SRX1008164,unknown,brain,brain,pu9,pupae
SRX1744366,female,brain,brain,a,adult
ERX2252496,female,brain,brain,a,adult
SRX1892926,mixed,brain,brain,a,adult
SRX1894100,mixed,brain,brain,a,adult
SRX1299415,mixed,brain,brain,l3,larva
SRX1894103,mixed,brain,brain,a,adult
SRX122595,female,brain,brain,a,adult
SRX1894108,mixed,brain,brain,a,adult
SRX082122,unknown,brain,brain,a,adult
SRX122613,female,brain,brain,a,adult
SRX1299407,mixed,brain,brain,l3,larva
SRX1744371,female,brain,brain,a,adult
SRX1894099,mixed,brain,brain,a,adult
SRX1299405,mixed,brain,brain,l3,larva
ERX2452511,female,brain,brain,a10,adult
SRX1744382,male,brain,brain,a,adult
SRX3738113,female,brain,brain,a1,adult
SRX1744369,female,brain,brain,a,adult
SRX645200,unknown,brain,brain,l3,larva
SRX122610,female,brain,brain,a,adult
ERX2252036,male,brain,brain,a,adult
SRX135201,unknown,brain,brain,a,adult
SRX122608,female,brain,brain,a,adult
SRX1299397,mixed,brain,brain,l3,larva
SRX1008162,unknown,brain,brain,pu8,pupae
SRX1756359,female,brain,brain,a7,adult
SRX122593,female,brain,brain,a,adult
SRX122599,female,brain,brain,a,adult
SRX1894102,mixed,brain,brain,a,adult
SRX1894090,mixed,brain,brain,a,adult
SRX3738112,female,brain,brain,a1,adult
SRX122596,female,brain,brain,a,adult
SRX2618487,unknown,brain,brain,a3,adult
ERX2252498,female,brain,brain,a,adult
SRX122602,female,brain,brain,a,adult
SRX2268047,unknown,brain,brain,pu7,pupae
SRX1299416,mixed,brain,brain,l3,larva
ERX2252038,male,brain,brain,a,adult
